,İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Yapı Tipi,Net Metrekare,Brüt Metrekare,Salon Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Aidat,Kira Getirisi,Banyo Sayısı,WC Sayısı,Site İçerisinde,Eşya Durumu,Kullanım Durumu,Fiyat Durumu,Yapı Durumu,Krediye Uygunluk,Yatırıma Uygunluk,Takas,Fiyat
179,9225267,11 Şubat 2021,11 Şubat 2021,Konut,Satılık,Belirtilmemiş,175 m2,215 m2,Belirtilmemiş,4+1,0 (Yeni),11. Kat,11,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,855,000TL"
180,9224388,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,102 m2,135 m2,Belirtilmemiş,3+1,1,2. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,750,000TL"
181,9224387,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,115 m2,145 m2,Belirtilmemiş,4+1,0 (Yeni),4. Kat,14,Merkezi (Pay Ölçer),320 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Bilinmiyor,Yok,"3,350,000TL"
182,9224386,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,85 m2,105 m2,Belirtilmemiş,2+1,20 Ve Üzeri,Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,475,000TL"
183,9224383,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,180 m2,200 m2,Belirtilmemiş,4+2,1,13. Kat,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,550,000TL"
184,9224382,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,280 m2,350 m2,Belirtilmemiş,5+2,3,9. Kat,9,Merkezi (Pay Ölçer),350 TL,Belirtilmemiş,5,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Bilinmiyor,Yok,"5,250,000TL"
185,9224379,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,70 m2,90 m2,Belirtilmemiş,2+1,5-10,4. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,150,000TL"
186,9224378,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,80 m2,105 m2,Belirtilmemiş,2+1,20 Ve Üzeri,Düz Giriş,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"865,000TL"
187,9222707,10 Şubat 2021,10 Şubat 2021,Konut,Satılık,Belirtilmemiş,120 m2,140 m2,Belirtilmemiş,3+1,20 Ve Üzeri,3. Kat,8,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Mal Sahibi Oturuyor,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"1,395,000TL"
188,9224377,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,100 m2,140 m2,Belirtilmemiş,3+1,2,6. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,Sıfır,Krediye Uygun,Bilinmiyor,Yok,"1,850,000TL"
189,9224381,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,70 m2,90 m2,Belirtilmemiş,2+1,20 Ve Üzeri,2. Kat,5,Merkezi Doğalgaz,240 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"600,000TL"
190,9226718,11 Şubat 2021,11 Şubat 2021,Konut,Satılık,Belirtilmemiş,100 m2,130 m2,Belirtilmemiş,3+1,3,6. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Boş,Genel Fiyat,Belirtilmemiş,Krediye Uygun,Bilinmiyor,Yok,"2,250,000TL"
191,9224385,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,145 m2,170 m2,Belirtilmemiş,3+1,11-20,9. Kat,16,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Mal Sahibi Oturuyor,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"2,390,000TL"
192,9224384,10 Şubat 2021,12 Şubat 2021,Konut,Satılık,Betonarme,90 m2,120 m2,Belirtilmemiş,3+1,20 Ve Üzeri,1. Kat,3,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Boş,Genel Fiyat,İkinci El,Krediye Uygun,Bilinmiyor,Yok,"1,050,000TL"
